Region,Year,Month,Food,Alcoholic_beverages,Housing,Apparel,Transportation,Healthcare,Entertainment,Education_and_communication,Other_goods_and_services
Western,2012,Jan,233.891,232.066,230.442,115.737,209.836,415.36,109.078,133.809,384.169
Western,2012,Feb,233.781,234.358,231.045,116.575,213.387,417.828,108.919,133.901,383.57
Western,2012,Mar,234.271,233.706,231.487,119.935,221.749,418.91,109.057,134.127,383.518
Western,2012,Apr,234.633,233.049,231.797,121.428,222.885,419.221,109.074,134.138,384.769
Western,2012,May,234.519,233.445,232.514,120.922,224.095,421.174,108.698,134.372,383.651
Western,2012,Jun,234.931,234.692,232.888,119.036,220.703,421.702,109.553,134.196,385.919
Western,2012,Jul,234.845,234.721,233.294,116.488,215.526,423.63,109.374,134.7,387.176
Western,2012,Aug,235.645,234.845,233.907,116.577,218.676,424.628,109.847,135.165,388.599
Western,2012,Sep,235.776,236.482,234.072,121.577,221.311,425.591,110.131,135.992,387.911
Western,2012,Oct,235.957,235.369,234.624,124.434,223.917,426.554,109.771,135.842,387.823
Western,2012,Nov,235.971,235.412,234.321,122.837,215.543,426.189,109.462,135.882,387.87
Western,2012,Dec,236.839,235.504,234.593,117.782,210.344,425.028,108.762,136.026,387.007
Western,2012,Annual,235.088,234.471,232.915,119.444,218.164,422.151,109.31,134.846,385.999
Western,2013,Jan,237.867,236.665,235.561,119.393,209.774,426.442,108.858,136.417,389.141
Western,2013,Feb,237.492,238.163,236.31,119.349,217.394,429.214,109.587,136.754,388.764
Western,2013,Mar,237.726,237.879,236.863,121.587,219.818,429.228,109.928,137.037,388.224
Western,2013,Apr,238.352,237.702,237.365,122.408,218.426,426.93,109.67,136.519,390.386
Western,2013,May,237.808,237.261,238.581,121.298,219.534,426.507,109.557,136.554,389.286
Western,2013,Jun,237.807,238.84,238.959,119.678,220.278,428.974,109.232,136.234,391.675
Western,2013,Jul,238.129,239.283,239.295,117.636,220.563,429.398,109.095,136.527,391.28
Western,2013,Aug,237.877,238.587,240.165,117.427,218.878,431.207,109.281,137.454,393.705
Western,2013,Sep,238.805,238.331,240.573,120.72,218.372,431.883,109.363,138.014,394.034
Western,2013,Oct,239.364,238.972,241.131,122.539,215.056,432.096,109.421,138.037,392.232
Western,2013,Nov,239.412,238.78,240.972,120.13,211.258,432.683,109.6,137.86,393.869
Western,2013,Dec,239.659,239.329,241.566,118.2,210.066,432.921,109.068,138.305,394.66
Western,2013,Annual,238.358,238.316,238.945,120.03,216.618,429.79,109.388,137.143,391.438
Western,2014,Jan,240.272,239.972,242.381,116.701,210.95,435.73,109.104,138.29,395.315
Western,2014,Feb,241.015,239.641,243.007,117.176,212.69,438.595,109.565,138.222,397.815
Western,2014,Mar,241.869,239.94,243.713,121.101,217.079,438.157,109.91,138.305,397.667
Western,2014,Apr,242.718,239.96,242.815,123.012,221.453,437.756,110.633,138.348,398.038
Western,2014,May,244.112,240.886,245.24,122.019,223.474,439.753,110.399,138.345,397.42
Western,2014,Jun,243.751,239.503,246.075,122.001,223.193,440.898,110.373,138.455,396.164
Western,2014,Jul,245.036,239.247,247.034,118.482,222.358,440.896,110.377,138.469,398.041
Western,2014,Aug,246.437,242.485,247.359,119.706,218.606,440.232,110.146,138.755,399.953
Western,2014,Sep,246.789,242.517,248.005,123.108,216.202,442.039,110.199,139.189,400.006
Western,2014,Oct,247.685,242.407,248.766,123.77,212.341,441.619,110.306,138.608,399.301
Western,2014,Nov,247.84,243.905,248.633,120.544,205.842,443.823,109.476,138.279,398.965
Western,2014,Dec,248.803,243.682,249.072,116.587,198.919,446.377,109.058,138.071,399.426
Western,2014,Annual,244.694,241.179,246.008,120.351,215.259,440.49,109.962,138.445,398.176
Western,2015,Jan,249.403,243.463,250.123,116.559,190.929,447.286,109.062,138.286,401.012
Western,2015,Feb,249.263,243.604,251.248,118.718,194.638,449.719,109.61,138.439,401.142
Western,2015,Mar,248.4,243.357,251.885,121.096,203.799,450.675,109.869,138.151,401.413
Western,2015,Apr,248.641,242.818,252.715,121.179,203.645,456.01,109.966,138.366,402.053
Western,2015,May,248.429,243.962,253.79,120.486,212.655,455.768,110.491,137.667,401.752
Western,2015,Jun,249.018,243.043,254.543,117.569,212.102,453.453,111.025,137.813,402.541
Western,2015,Jul,249.229,243.237,255.592,116.12,213.79,455.089,111.03,137.604,402.499
Western,2015,Aug,250.045,243.187,256.383,117.732,209.616,451.436,110.834,138.013,401.912
Western,2015,Sep,251.679,242.815,256.858,120.484,202.729,451.886,110.837,138.557,403.489
Western,2015,Oct,252.711,245.569,257.502,121.277,198.551,456.524,111.405,138.708,405.842
Western,2015,Nov,251.951,245.827,257.121,118.848,197.083,458.708,111.266,138.879,405.941
Western,2015,Dec,251.3,245.138,258.106,115.729,195.062,459.224,110.725,138.66,406.063
Western,2015,Annual,250.006,243.835,254.656,118.816,202.883,453.815,110.51,138.262,402.972
