Region,Year,Month,Food,Alcoholic_beverages,Housing,Apparel,Transportation,Healthcare,Entertainment,Education_and_communication,Other_goods_and_services
Western,2012,Jan,597.59,41.86,1562.35,146.22,864.25,331.66,293.87,99.38,874.25
Western,2012,Feb,597.31,42.28,1566.44,147.28,878.88,333.64,293.44,99.45,872.89
Western,2012,Mar,598.56,42.16,1569.44,151.53,913.32,334.5,293.81,99.62,872.77
Western,2012,Apr,599.49,42.04,1571.54,153.41,918.0,334.75,293.86,99.62,875.62
Western,2012,May,599.2,42.11,1576.4,152.77,922.98,336.31,292.84,99.8,873.07
Western,2012,Jun,600.25,42.34,1578.93,150.39,909.01,336.73,295.15,99.67,878.24
Western,2012,Jul,600.03,42.34,1581.69,147.17,887.69,338.27,294.66,100.04,881.1
Western,2012,Aug,602.07,42.37,1585.84,147.28,900.66,339.07,295.94,100.39,884.33
Western,2012,Sep,602.41,42.66,1586.96,153.6,911.51,339.83,296.7,101.0,882.77
Western,2012,Oct,602.87,42.46,1590.7,157.21,922.25,340.6,295.73,100.89,882.57
Western,2012,Nov,602.91,42.47,1588.65,155.19,887.76,340.31,294.9,100.92,882.68
Western,2012,Dec,605.12,42.48,1590.49,148.81,866.34,339.38,293.02,101.03,880.71
Western,2012,Annual,600.65,42.3,1579.12,150.91,898.55,337.09,294.49,100.15,878.42
Western,2013,Jan,607.75,42.69,1597.06,150.84,864.0,340.51,293.27,101.32,885.57
Western,2013,Feb,606.79,42.96,1602.13,150.79,895.38,342.73,295.24,101.57,884.71
Western,2013,Mar,607.39,42.91,1605.88,153.61,905.36,342.74,296.16,101.78,883.48
Western,2013,Apr,608.99,42.88,1609.29,154.65,899.63,340.9,295.46,101.39,888.4
Western,2013,May,607.6,42.8,1617.53,153.25,904.19,340.57,295.16,101.42,885.9
Western,2013,Jun,607.6,43.09,1620.09,151.2,907.26,342.54,294.28,101.18,891.33
Western,2013,Jul,608.42,43.17,1622.37,148.62,908.43,342.87,293.91,101.4,890.44
Western,2013,Aug,607.78,43.04,1628.27,148.36,901.49,344.32,294.41,102.09,895.95
Western,2013,Sep,610.15,42.99,1631.04,152.52,899.41,344.86,294.63,102.5,896.7
Western,2013,Oct,611.58,43.11,1634.82,154.82,885.75,345.03,294.79,102.52,892.6
Western,2013,Nov,611.7,43.08,1633.74,151.77,870.11,345.5,295.27,102.39,896.33
Western,2013,Dec,612.33,43.17,1637.77,149.33,865.2,345.69,293.84,102.72,898.13
Western,2013,Annual,609.0,42.99,1620.0,151.65,892.18,343.19,294.7,101.86,890.8
Western,2014,Jan,613.89,43.29,1643.29,147.44,868.84,347.93,293.94,102.71,899.62
Western,2014,Feb,615.79,43.23,1647.54,148.04,876.01,350.22,295.18,102.66,905.31
Western,2014,Mar,617.98,43.29,1652.33,153.0,894.08,349.87,296.11,102.72,904.97
Western,2014,Apr,620.14,43.29,1646.24,155.41,912.1,349.55,298.06,102.75,905.82
Western,2014,May,623.71,43.46,1662.68,154.16,920.42,351.14,297.43,102.75,904.41
Western,2014,Jun,622.78,43.21,1668.34,154.14,919.27,352.06,297.36,102.83,901.55
Western,2014,Jul,626.07,43.16,1674.84,149.69,915.83,352.06,297.37,102.84,905.82
Western,2014,Aug,629.65,43.74,1677.04,151.24,900.37,351.53,296.74,103.05,910.17
Western,2014,Sep,630.55,43.75,1681.42,155.53,890.47,352.97,296.89,103.38,910.29
Western,2014,Oct,632.84,43.73,1686.58,156.37,874.57,352.63,297.18,102.94,908.69
Western,2014,Nov,633.23,44.0,1685.68,152.3,847.8,354.39,294.94,102.7,907.92
Western,2014,Dec,635.69,43.96,1688.66,147.3,819.29,356.43,293.81,102.55,908.97
Western,2014,Annual,625.19,43.51,1667.89,152.05,886.59,351.73,296.25,102.82,906.13
Western,2015,Jan,637.22,43.92,1695.78,147.26,786.38,357.16,293.82,102.71,912.58
Western,2015,Feb,636.87,43.95,1703.41,149.99,801.66,359.1,295.3,102.82,912.88
Western,2015,Mar,634.66,43.9,1707.73,152.99,839.39,359.86,296.0,102.6,913.5
Western,2015,Apr,635.28,43.8,1713.36,153.1,838.75,364.12,296.26,102.76,914.95
Western,2015,May,634.74,44.01,1720.65,152.22,875.86,363.93,297.67,102.25,914.27
Western,2015,Jun,636.24,43.84,1725.75,148.54,873.58,362.08,299.11,102.35,916.06
Western,2015,Jul,636.78,43.88,1732.86,146.71,880.54,363.39,299.13,102.2,915.97
Western,2015,Aug,638.86,43.87,1738.23,148.74,863.35,360.47,298.6,102.5,914.63
Western,2015,Sep,643.04,43.8,1741.45,152.22,834.98,360.83,298.61,102.91,918.22
Western,2015,Oct,645.68,44.3,1745.81,153.22,817.77,364.53,300.14,103.02,923.57
Western,2015,Nov,643.73,44.35,1743.23,150.15,811.73,366.28,299.76,103.15,923.8
Western,2015,Dec,642.07,44.22,1749.91,146.21,803.4,366.69,298.3,102.98,924.08
Western,2015,Annual,638.77,43.99,1726.52,150.11,835.61,362.37,297.72,102.69,917.04
Western,2016,Jan,644.9,44.65,1762.65,147.07,802.76,367.82,300.39,103.16,924.53
Western,2016,Feb,646.33,44.86,1770.38,151.23,785.17,372.41,301.1,102.81,923.51
Western,2016,Mar,643.56,44.65,1774.08,152.54,797.75,371.07,299.71,102.89,925.68
Western,2016,Apr,643.87,44.9,1776.08,153.46,816.34,372.28,301.7,102.87,927.23
Western,2016,May,643.57,44.72,1788.66,152.98,826.23,374.38,302.37,102.58,927.54
Western,2016,Jun,642.79,44.58,1794.53,149.87,832.36,374.82,301.31,102.42,927.06
Western,2016,Jul,642.54,44.54,1802.53,147.29,827.74,375.03,301.77,102.04,930.11
