Year,Region,Income before taxes,Income after taxes,Average annual expenditures,Food,Alcoholic beverages,Housing,Apparel and services,Transportation,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,Personal insurance and pensions
2012,All,64649,62529,50581,6529,454,16846,1738,8649,3436,2589,631,112,1130,341,802,1818,5508
2012,Northeast,71884,69312,55215,6881,513,19650,1869,8645,3470,2678,631,132,1704,355,898,1803,5985
2012,Midwest,63076,61038,47903,6315,412,14969,1594,8361,3733,2528,577,115,1137,353,786,1764,5259
2012,South,59511,57856,46743,6069,380,15126,1639,8679,3198,2379,617,85,767,378,663,1657,5107
2012,West,68760,66163,55769,7217,569,19237,1938,8886,3507,2922,709,139,1252,259,968,2144,6023
2013,All,64686,59844,51299,6600,448,17030,1677,9001,3594,2553,618,106,1172,331,736,1873,5559
2013,Northeast,71819,65585,56484,6998,531,20054,1832,9107,3679,2675,630,126,1830,348,795,1662,6217
2013,Midwest,64195,58962,49592,6490,437,15480,1528,8853,3970,2512,574,110,1193,350,732,1967,5397
2013,South,59416,55566,46878,6106,367,15148,1563,8876,3265,2298,591,81,789,354,626,1691,5123
2013,West,68177,63196,56156,7213,526,19254,1887,9267,3701,2920,698,128,1258,259,876,2253,5915
2014,All,65339.0,57364.0,52284.0,6681.0,454.0,17478.0,1699.0,9039.0,3935.0,2605.0,627.0,103.0,1210.0,324.0,691.0,1811.0,5628.0
2014,Northeast,73756.0,63257.0,58122.0,6944.0,525.0,20707.0,1876.0,9337.0,4125.0,2679.0,665.0,119.0,2033.0,328.0,725.0,1653.0,6407.0
2014,Midwest,64268.0,55980.0,51238.0,6749.0,474.0,16066.0,1690.0,8954.0,4223.0,2612.0,613.0,112.0,1206.0,364.0,689.0,1941.0,5544.0
2014,South,60011.0,53566.0,47667.0,6217.0,362.0,15525.0,1530.0,8858.0,3645.0,2341.0,566.0,80.0,814.0,344.0,616.0,1690.0,5078.0
2014,West,68459.0,60297.0,56298.0,7178.0,530.0,19525.0,1850.0,9180.0,3977.0,2981.0,710.0,118.0,1204.0,249.0,791.0,2011.0,5994.0
2015,All,68316.0,59453.0,54715.0,6891.0,489.0,18097.0,1817.0,9277.0,4320.0,2783.0,664.0,117.0,1275.0,335.0,824.0,1793.0,6034.0
2015,Northeast,77771.0,65940.0,59115.0,6867.0,543.0,20915.0,1859.0,9177.0,4453.0,2748.0,701.0,132.0,2082.0,316.0,868.0,1705.0,6748.0
2015,Midwest,66754.0,58038.0,53425.0,6993.0,516.0,16728.0,1804.0,9184.0,4508.0,2812.0,662.0,128.0,1237.0,394.0,837.0,1682.0,5940.0
2015,South,61614.0,54606.0,50690.0,6497.0,392.0,16283.0,1624.0,9309.0,4144.0,2599.0,597.0,94.0,930.0,366.0,678.0,1787.0,5391.0
2015,West,73496.0,63772.0,59217.0,7473.0,580.0,20227.0,2119.0,9397.0,4321.0,3098.0,751.0,136.0,1237.0,238.0,1023.0,1985.0,6633.0
2016,All,72156.0,62320.0,56648.0,7113.0,499.0,18648.0,1824.0,9275.0,4477.0,2878.0,695.0,116.0,1322.0,343.0,915.0,1950.0,6591.0
2016,Northeast,79079.0,67086.0,59876.0,7018.0,564.0,21140.0,1870.0,8574.0,4492.0,2768.0,707.0,112.0,1985.0,343.0,939.0,2258.0,7107.0
2016,Midwest,68594.0,60008.0,54989.0,7076.0,507.0,17188.0,1680.0,9077.0,4788.0,2946.0,680.0,119.0,1284.0,415.0,1002.0,1718.0,6509.0
2016,South,64783.0,56818.0,52350.0,6671.0,404.0,16741.0,1684.0,9447.0,4271.0,2672.0,629.0,93.0,997.0,362.0,705.0,1807.0,5869.0
2016,West,82775.0,70236.0,63045.0,7978.0,602.0,21334.0,2161.0,9747.0,4523.0,3260.0,811.0,156.0,1376.0,242.0,1179.0,2173.0,7504.0
2017,All,74118.0,63890.0,58681.0,7466.0,521.0,19388.0,1817.0,9313.0,4770.0,3051.0,736.0,112.0,1410.0,335.0,985.0,1977.0,6801.0
2017,Northeast,80741.0,68643.0,62391.0,7611.0,560.0,22063.0,1951.0,8494.0,4889.0,2952.0,729.0,107.0,2144.0,362.0,1088.0,2187.0,7254.0
2017,Midwest,69473.0,60762.0,56114.0,7157.0,518.0,17408.0,1680.0,9058.0,5111.0,3182.0,739.0,114.0,1256.0,397.0,969.0,1865.0,6660.0
2017,South,67297.0,58827.0,53740.0,6921.0,421.0,17383.0,1691.0,9323.0,4473.0,2741.0,668.0,95.0,1088.0,336.0,779.0,1773.0,6047.0
2017,West,85107.0,71869.0,66704.0,8571.0,663.0,22612.0,2054.0,10217.0,4857.0,3540.0,854.0,143.0,1518.0,249.0,1275.0,2268.0,7882.0
2018,All,76118.0,65433.0,60580.0,7826.0,571.0,19971.0,1850.0,9669.0,4902.0,3214.0,765.0,109.0,1449.0,340.0,1001.0,1880.0,7034.0
2018,Northeast,87793.0,73518.0,64955.0,8230.0,600.0,23122.0,2044.0,9095.0,5004.0,3125.0,759.0,131.0,2222.0,351.0,1131.0,1555.0,7586.0
2018,Midwest,71617.0,62158.0,57714.0,7378.0,575.0,17814.0,1793.0,9415.0,5204.0,3487.0,764.0,118.0,1238.0,400.0,893.0,1843.0,6790.0
2018,South,69315.0,60518.0,55700.0,7235.0,477.0,17947.0,1669.0,9570.0,4724.0,2804.0,711.0,89.0,1166.0,346.0,886.0,1760.0,6315.0
2018,West,82878.0,70623.0,68276.0,8947.0,702.0,23035.0,2059.0,10550.0,4834.0,3729.0,864.0,117.0,1521.0,261.0,1201.0,2387.0,8070.0
2019,All,80750.0,69683.0,62395.0,8047.0,581.0,20386.0,1883.0,10507.0,5081.0,3158.0,777.0,100.0,1425.0,333.0,946.0,1942.0,7230.0
2019,Northeast,90625.0,76803.0,67668.0,8683.0,653.0,23586.0,2211.0,10141.0,5100.0,3146.0,823.0,114.0,2370.0,327.0,1107.0,1613.0,7792.0
2019,Midwest,76134.0,66375.0,59282.0,7597.0,591.0,18263.0,1816.0,10102.0,5445.0,3373.0,728.0,118.0,1107.0,394.0,858.0,1803.0,7088.0
2019,South,75555.0,65786.0,57925.0,7484.0,506.0,18449.0,1709.0,10491.0,4914.0,2811.0,743.0,80.0,1143.0,354.0,858.0,1773.0,6611.0
2019,West,86301.0,73929.0,68880.0,8930.0,644.0,23218.0,1989.0,11210.0,5005.0,3554.0,847.0,107.0,1469.0,245.0,1054.0,2623.0,7985.0
2020,All,83599.0,73212.0,62188.0,7744.0,529.0,21043.0,1659.0,10257.0,5185.0,3030.0,717.0,103.0,1358.0,317.0,903.0,2138.0,7205.0
2020,Northeast,91887.0,79566.0,68696.0,8632.0,624.0,24356.0,2041.0,9769.0,5108.0,3144.0,766.0,109.0,2504.0,311.0,1113.0,2132.0,8086.0
2020,Midwest,78572.0,69887.0,59789.0,7302.0,538.0,18973.0,1636.0,10346.0,5691.0,3292.0,695.0,112.0,981.0,359.0,799.0,1985.0,7080.0
2020,South,78716.0,69111.0,57206.0,7045.0,447.0,18904.0,1455.0,10178.0,5040.0,2639.0,660.0,93.0,1090.0,346.0,803.0,1929.0,6577.0
2020,West,90211.0,78393.0,67904.0,8673.0,587.0,24066.0,1735.0,10683.0,5016.0,3362.0,796.0,108.0,1279.0,235.0,1009.0,2642.0,7710.0
2021,All,85906.0,76863.0,64187.0,7803.0,516.0,22046.0,1593.0,10398.0,5316.0,3256.0,709.0,114.0,1249.0,328.0,947.0,2349.0,7562.0
2021,Northeast,97726.0,85487.0,70681.0,8814.0,624.0,25402.0,1943.0,9478.0,5385.0,3303.0,740.0,129.0,2103.0,318.0,1110.0,2545.0,8790.0
2021,Midwest,81523.0,73881.0,62118.0,7407.0,527.0,20055.0,1643.0,10223.0,5787.0,3523.0,729.0,113.0,1049.0,376.0,937.0,2294.0,7456.0
2021,South,78620.0,70918.0,58682.0,7053.0,419.0,19682.0,1326.0,10483.0,5103.0,2763.0,623.0,97.0,1051.0,341.0,833.0,2174.0,6735.0
2021,West,93329.0,83148.0,70521.0,8689.0,590.0,25358.0,1734.0,11125.0,5185.0,3806.0,813.0,133.0,1117.0,270.0,1025.0,2548.0,8128.0
