,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR
1,11-0000,Management Occupations,major,6390430,0.2,52.2,108570,0.1,22.12,31.56,45.15,65.2,#,46000,65650,93910,135620,#,,,2012
70,13-0000,Business and Financial Operations Occupations,major,6419370,0.3,33.44,69550,0.2,16.88,22.28,30.05,40.61,53.5,35110,46340,62500,84470,111280,,,2012
128,15-0000,Computer and Mathematical Occupations,major,3578220,0.4,38.55,80180,0.3,19.39,26.55,36.67,48.4,60.55,40330,55220,76270,100670,125940,,,2012
161,17-0000,Architecture and Engineering Occupations,major,2356530,0.5,37.98,79000,0.3,19.45,26.16,35.35,46.81,59.52,40450,54420,73540,97370,123810,,,2012
221,19-0000,"Life, Physical, and Social Science Occupations",major,1104100,0.7,32.87,68360,0.7,15.06,20.35,28.89,41.18,55.38,31320,42330,60100,85660,115180,,,2012
292,21-0000,Community and Social Service Occupations,major,1882080,0.4,21.27,44240,0.4,11.21,14.57,19.42,26.52,34.36,23310,30310,40400,55160,71460,,,2012
319,23-0000,Legal Occupations,major,1023020,0.5,47.39,98570,0.6,16.8,23.15,36.19,62.57,#,34940,48150,75270,130130,#,,,2012
335,25-0000,"Education, Training, and Library Occupations",major,8374910,0.3,24.62,51210,0.5,9.94,14.66,22.13,30.85,41.54,20670,30490,46020,64170,86400,,,2012
431,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1750130,0.7,26.2,54490,0.8,9.42,13.76,21.12,32.16,46.12,19600,28630,43930,66890,95930,,,2012
493,29-0000,Healthcare Practitioners and Technical Occupations,major,7649930,0.3,35.35,73540,0.2,14.84,20.56,28.94,40.69,61.54,30870,42760,60200,84630,128000,,,2012
585,31-0000,Healthcare Support Occupations,major,3915460,0.4,13.36,27780,0.2,8.62,10.03,12.28,15.64,19.51,17920,20850,25550,32520,40590,,,2012
