YEAR,REGION,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
2012,South,1,Alabama,11-0000,Management Occupations,major,66790,1,36.608,0.75,49.24,102420,0.5,23.98,31.98,43.21,59.64,83.37,49870,66520,89870,124060,173420,,
2012,South,1,Alabama,13-0000,Business and Financial Operations Occupations,major,65480,1.5,35.889,0.73,31.64,65810,2.5,16.69,21.69,28.99,38.89,49.3,34710,45120,60290,80900,102540,,
2012,South,1,Alabama,15-0000,Computer and Mathematical Occupations,major,38150,2.5,20.91,0.76,34.49,71740,1.2,17.07,23.3,33.13,43.76,54.87,35500,48470,68920,91010,114120,,
2012,South,1,Alabama,17-0000,Architecture and Engineering Occupations,major,39900,1.5,21.868,1.21,37.87,78760,1.1,17.61,25.32,35.88,49.3,61.09,36630,52670,74640,102550,127070,,
2012,South,1,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,8950,2.2,4.906,0.58,28.55,59390,2.5,14.44,18.53,24.98,34.8,45.72,30030,38550,51960,72390,95090,,
2012,South,1,Alabama,21-0000,Community and Social Service Occupations,major,16780,2.3,9.198,0.64,19.72,41020,1.5,10.44,14.42,18.7,24.94,29.56,21720,29990,38890,51870,61470,,
2012,South,1,Alabama,23-0000,Legal Occupations,major,10170,3.1,5.575,0.71,40.88,85020,3.5,14.71,20.36,29.66,54.32,79.28,30600,42360,61690,112980,164900,,
2012,South,1,Alabama,25-0000,"Education, Training, and Library Occupations",major,105420,1.8,57.784,0.9,21.7,45130,3.5,8.38,10.8,21.32,26.88,33.28,17420,22460,44350,55920,69230,,
2012,South,1,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,18510,4.5,10.144,0.76,17.65,36710,2.5,8.18,9.31,14.25,22.45,31.78,17020,19360,29630,46700,66100,,
2012,South,1,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,118100,1.6,64.736,1.1,29.97,62340,1.2,12.49,17.32,23.47,31.83,53.48,25980,36030,48810,66210,111240,,
2012,South,1,Alabama,31-0000,Healthcare Support Occupations,major,50620,2.2,27.745,0.92,11.6,24120,0.8,8.02,8.98,10.65,13.13,16.61,16680,18680,22140,27300,34550,,
2012,South,1,Alabama,33-0000,Protective Service Occupations,major,42900,2.1,23.516,0.96,16.86,35060,1.7,8.59,10.9,15.6,21.18,27.12,17870,22680,32440,44060,56400,,
2012,South,1,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,147190,0.9,80.677,0.91,9.24,19220,0.5,7.63,8.03,8.7,9.42,12.45,15870,16700,18090,19590,25890,,
2012,South,1,Alabama,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,54080,1.8,29.644,0.91,10.58,22000,0.7,7.78,8.39,9.43,11.62,15.22,16180,17440,19610,24180,31660,,
2012,South,1,Alabama,39-0000,Personal Care and Service Occupations,major,43070,4.1,23.608,0.81,10.2,21220,1.1,7.68,8.15,8.93,10.98,15.47,15970,16950,18570,22830,32170,,
2012,South,1,Alabama,41-0000,Sales and Related Occupations,major,212310,0.9,116.374,1.1,15.15,31520,0.9,7.94,8.63,10.41,17.2,28.25,16510,17950,21660,35780,58750,,
2012,South,1,Alabama,43-0000,Office and Administrative Support Occupations,major,287130,0.7,157.385,0.96,14.8,30780,0.3,8.62,10.41,13.53,17.84,23,17920,21650,28140,37100,47840,,
2012,South,1,Alabama,45-0000,"Farming, Fishing, and Forestry Occupations",major,5420,4.6,2.969,0.9,14.96,31120,2.2,8.44,10.6,14.03,18.2,23.13,17550,22040,29180,37860,48120,,
2012,South,1,Alabama,47-0000,Construction and Extraction Occupations,major,75280,1.5,41.265,1.08,17.48,36360,0.8,10.07,12.36,16.05,21.42,27.26,20940,25710,33390,44550,56700,,
2012,South,1,Alabama,49-0000,"Installation, Maintenance, and Repair Occupations",major,89790,1.6,49.217,1.26,20.02,41630,0.8,10.51,14.11,18.89,25.1,31.54,21860,29350,39280,52210,65610,,
2012,South,1,Alabama,51-0000,Production Occupations,major,190450,1.5,104.392,1.58,15.64,32530,1.4,8.61,10.33,13.63,19.37,26.39,17920,21480,28350,40280,54900,,
2012,South,1,Alabama,53-0000,Transportation and Material Moving Occupations,major,137910,1.2,75.59,1.12,14.6,30370,1.1,8.13,9.21,12.34,17.78,25.05,16900,19160,25660,36980,52110,,
2012,West,2,Alaska,11-0000,Management Occupations,major,17920,1.6,56.241,1.15,47.74,99300,1.2,23.67,31.29,42.71,57.33,77.68,49230,65080,88840,119240,161580,,
2012,West,2,Alaska,13-0000,Business and Financial Operations Occupations,major,12670,2.4,39.762,0.81,34.26,71260,1,20.01,25.52,32.33,40.95,50.97,41630,53080,67250,85180,106030,,
2012,West,2,Alaska,15-0000,Computer and Mathematical Occupations,major,5250,3.4,16.485,0.6,34.27,71280,1.4,20.39,25.64,33.6,41.85,49.44,42400,53320,69880,87050,102830,,
2012,West,2,Alaska,17-0000,Architecture and Engineering Occupations,major,8650,2.8,27.133,1.5,45.66,94960,2.4,24.23,31.02,41.92,54.99,70.23,50400,64510,87190,114370,146070,,
2012,West,2,Alaska,19-0000,"Life, Physical, and Social Science Occupations",major,6860,3.5,21.53,2.54,32.49,67580,2.3,16.62,22.14,29.69,38.55,49.12,34570,46060,61750,80180,102160,,
2012,West,2,Alaska,21-0000,Community and Social Service Occupations,major,6780,4.3,21.285,1.47,23.18,48210,2.2,13.66,16.94,21.75,28.26,35,28420,35230,45240,58770,72800,,
2012,West,2,Alaska,23-0000,Legal Occupations,major,1820,4.7,5.725,0.73,47.23,98230,4.3,23.24,29.58,40.92,56.46,74.75,48330,61530,85110,117430,155480,,
2012,West,2,Alaska,25-0000,"Education, Training, and Library Occupations",major,22590,3.6,70.896,1.1,26.73,55590,2.6,12.03,17.7,25.98,34.38,42.67,25020,36810,54030,71500,88750,,
2012,West,2,Alaska,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,3310,4.3,10.374,0.77,22.1,45960,2.5,11.72,16,20.15,26.74,34.67,24380,33290,41920,55620,72100,,
2012,West,2,Alaska,29-0000,Healthcare Practitioners and Technical Occupations,major,15730,4.9,49.352,0.84,42.7,88810,2.8,18.97,26.83,36.57,46.32,72.1,39450,55800,76070,96350,149970,,
2012,West,2,Alaska,31-0000,Healthcare Support Occupations,major,8180,3.4,25.673,0.85,18.1,37640,1.8,11.64,14.37,17.01,20.58,25.43,24220,29900,35380,42800,52900,,
2012,West,2,Alaska,33-0000,Protective Service Occupations,major,7980,4.5,25.039,1.02,25.42,52860,3.3,11.29,16.72,24.87,32.1,40.93,23470,34780,51730,66760,85140,,
2012,West,2,Alaska,35-0000,Food Preparation and Serving Related Occupations,major,24310,2.7,76.278,0.86,11.73,24400,1.3,8.3,8.94,10.55,13.66,17.35,17270,18600,21950,28420,36080,,
2012,West,2,Alaska,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,10770,5.4,33.781,1.04,13.91,28940,1.7,8.93,10.45,13.17,16.73,20.42,18580,21740,27390,34790,42470,,
2012,West,2,Alaska,39-0000,Personal Care and Service Occupations,major,11900,4.6,37.349,1.28,13.97,29060,1.7,8.88,10.3,13.1,16.71,20.18,18470,21410,27240,34770,41960,,
2012,West,2,Alaska,41-0000,Sales and Related Occupations,major,25920,2.7,81.314,0.77,16.29,33880,1.6,9.02,10.5,13.4,18.68,26.97,18760,21840,27870,38860,56090,,
2012,West,2,Alaska,43-0000,Office and Administrative Support Occupations,major,53060,1.4,166.472,1.02,19.23,39990,0.7,11.71,14.61,18.11,22.88,28.12,24350,30380,37670,47580,58490,,
2012,West,2,Alaska,45-0000,"Farming, Fishing, and Forestry Occupations",major,360,24.3,1.116,0.34,24.06,50040,11.8,12.33,16.43,21.07,31.6,41.89,25650,34170,43810,65740,87130,,
